NOMEDEP;DE;MUN;CODVINC;NOMESC_CODVINC;CODESC;NOMESC;TIPO_ESCOLA;TEMPO_ESCOLA;HORARIO;ENDESC;NUMESC;COMPLEND;BAIESC;CODCEP;COMPCEP;DDD;FONE1;FONE2;EMAIL;ALE;DTCADASTRO
"ESTADUAL - SE";"NORTE 2";"SAO PAULO";;;607;"TITO PRATES DA FONSECA";"EE";"PARCIAL";;"RUA MENDONÇA JÚNIOR";"611";"";"VILA DOS ANDRADES";"02610";"010";"11";"38516330";"39812872";"E000607A@EDUCACAO.SP.GOV.BR";False;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"NORTE 1";"SAO PAULO";;;619;"REGENTE FEIJO";"EE";"PARCIAL";;"RUA ANTÔNIO DE COUROS";"SN";"";"VILA PALMEIRAS";"02726";"000";"11";"39314273";"";"E000619A@EDUCACAO.SP.GOV.BR";False;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"NORTE 1";"SAO PAULO";;;620;"ANTONIO EMILIO SOUZA PENNA PROFESSOR";"EE";"PEI";"7H";"RUA CAROLINA MARIA DO CARMO";"30";"";"VILA ALBERTINA";"02729";"080";"11";"39312893";"39316055";"E000620A@EDUCACAO.SP.GOV.BR";False;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"NORTE 1";"SAO PAULO";;;632;"AUGUSTO DE MACEDO COSTA DOUTOR";"EE";"PEI";"9H";"RUA CONCEIÇÃO DE JACAREÍ";"8";"";"VILA CRUZ DAS ALMAS";"02805";"140";"11";"39757040";"39781115";"E000632A@EDUCACAO.SP.GOV.BR";False;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"NORTE 1";"SAO PAULO";;;644;"PIO XII";"EE";"PARCIAL";;"RUA OTÁVIO DOMINGUITO";"50";"";"PIQUERI";"02912";"040";"11";"39764189";"39923104";"E000644A@EDUCACAO.SP.GOV.BR";False;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"CENTRO";"SAO PAULO";;;656;"FRONTINO GUIMARAES";"EE";"PEI";"9H";"RUA PAULO GONÇALVES";"55";"";"SANTANA";"02403";"020";"11";"29504624";"29764636";"E000656A@EDUCACAO.SP.GOV.BR";False;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"CENTRO";"SAO PAULO";;;668;"ROMULO PERO PROFESSOR";"EE";"PEI";"9H";"RUA COPACABANA";"243";"";"SANTA TERESINHA";"02461";"000";"11";"29509082";"29509718";"E000668A@EDUCACAO.SP.GOV.BR";False;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"LESTE 5";"SAO PAULO";;;673;"PAULO EGYDIO DE OLIVEIRA CARVALHO SENADOR";"EE";"PARCIAL";;"RUA ARARITAGUABA";"1264";"- DE 851/852 AO FIM";"VILA MARIA";"02122";"011";"11";"26310204";"29544757";"E000673A@EDUCACAO.SP.GOV.BR";False;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"CENTRO";"SAO PAULO";;;681;"TOLEDO BARBOSA";"EE";"PARCIAL";;"RUA MARIA CÂNDIDA";"293";"- ATÉ 0545 - LADO ÍMPAR";"VILA GUILHERME";"02071";"010";"11";"29093684";"29096146";"E000681A@EDUCACAO.SP.GOV.BR";False;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"NORTE 2";"SAO PAULO";;;693;"RITA BICUDO PEREIRA PROFA";"EE";"PARCIAL";;"AVENIDA PERI RONCHETTI";"494";"";"JARDIM PERI";"02633";"000";"11";"22322066";"22334686";"E000693A@EDUCACAO.SP.GOV.BR";True;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"LESTE 5";"SAO PAULO";;;700;"HORACIO LAFER MINISTRO";"EE";"PARCIAL";;"RUA DIAS DA SILVA";"1464";"- DE 871/872 AO FIM";"VILA MARIA";"02114";"002";"11";"26365022";"29544138";"E000700A@EDUCACAO.SP.GOV.BR";False;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"CENTRO";"SAO PAULO";;;711;"NARBAL FONTES PROFESSORA";"EE";"PEI";"7H";"AVENIDA CONCEIÇÃO";"806";"- ATÉ 909/910";"CARANDIRU";"02072";"000";"11";"29064062";"29096260";"E000711A@EDUCACAO.SP.GOV.BR";False;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"CENTRO";"SAO PAULO";;;723;"OCTAVIO MENDES DOUTOR";"EE";"PEI";"9H";"RUA VOLUNTÁRIOS DA PÁTRIA";"3422";"- DE 3200 A 3598 - LADO PAR";"SANTANA";"02402";"300";"11";"22835169";"29783428";"E000723A@EDUCACAO.SP.GOV.BR";False;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"NORTE 2";"SAO PAULO";;;735;"PAUL HUGON PROF";"EE";"PARCIAL";;"JOSE DE ALMEIDA BOTELHO GENERAL";"196";"RUA";"PARQUE MANDAQUI";"02422";"090";"11";"22311899";"22320259";"E000735A@EDUCACAO.SP.GOV.BR";False;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"LESTE 5";"SAO PAULO";;;747;"MARIA MONTESSORI";"EE";"PARCIAL";;"AVENIDA CONCEIÇÃO";"2288";"- DE 1575/1576 A 2399/2400";"VILA PAIVA";"02072";"002";"11";"29094973";"";"E000747A@EDUCACAO.SP.GOV.BR";False;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"LESTE 5";"SAO PAULO";;;759;"FLORINDA CARDOSO PROFESSORA";"EE";"PARCIAL";;"RUA ITAÚNA";"748";"- DE 491/492 AO FIM";"VILA MARIA";"02111";"031";"11";"26316886";"29674820";"E000759A@EDUCACAO.SP.GOV.BR";False;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"CENTRO";"SAO PAULO";;;760;"AFRANIO PEIXOTO";"EE";"PARCIAL";;"RUA MARIA CÂNDIDA";"1936";"- DE 1653 AO FIM - LADO ÍMPAR";"VILA GUILHERME";"02071";"013";"11";"29090009";"29090267";"E000760A@EDUCACAO.SP.GOV.BR";False;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"NORTE 2";"SAO PAULO";;;772;"VISCONDE DE INHAUMA ALMIRANTE";"EE";"PEI";"9H";"GUACA";"1382";"AVENIDA";"LAUZANE PAULISTA";"02435";"001";"11";"22317192";"22334684";"E000772A@EDUCACAO.SP.GOV.BR";False;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"CENTRO";"SAO PAULO";;;784;"ANESIA SINCORA PROFESSORA";"EE";"PEI";"9H";"RUA JOSÉ BERNARDO PINTO";"758";"- DE 421/422 AO FIM";"VILA GUILHERME";"02055";"001";"11";"29011005";"29014004";"E000784A@EDUCACAO.SP.GOV.BR";False;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"LESTE 5";"SAO PAULO";;;796;"HEROIS DA FEB";"EE";"PARCIAL";;"RUA SOLDADO BENEDITO ELISEU DOS SANTOS";"SN";"";"PARQUE NOVO MUNDO";"02177";"020";"11";"29545915";"29677056";"E000796A@EDUCACAO.SP.GOV.BR";True;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"LESTE 5";"SAO PAULO";;;802;"IMPERATRIZ LEOPOLDINA";"EE";"PEI";"9H";"RUA TOGO";"571";"";"JARDIM JAPAO";"02124";"050";"11";"22123411";"22124311";"E000802A@EDUCACAO.SP.GOV.BR";False;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"NORTE 2";"SAO PAULO";;;814;"RAQUEL ASSIS BARREIROS PROFA";"EE";"PARCIAL";;"PENHA BRASIL GENERAL";"1255";"AVENIDA";"VILA NOVA CACHOEIRINHA";"02673";"000";"11";"38512417";"39854483";"E000814A@EDUCACAO.SP.GOV.BR";False;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"LESTE 5";"SAO PAULO";;;838;"JOAO VIEIRA DE ALMEIDA";"EE";"PARCIAL";;"AVENIDA GUILHERME COTCHING";"1272";"- DE 842 A 1600 - LADO PAR";"VILA MARIA";"02113";"012";"11";"26311732";"26312651";"E000838A@EDUCACAO.SP.GOV.BR";False;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"CENTRO";"SAO PAULO";;;848;"JOAQUIM LEME DO PRADO PROFESSOR";"EE";"PARCIAL";;"AVENIDA IMIRIM";"2113";"- DE 1509 A 2257 - LADO ÍMPAR";"IMIRIM";"02465";"200";"11";"22391332";"22391633";"E000848A@EDUCACAO.SP.GOV.BR";False;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"LESTE 5";"SAO PAULO";;;851;"JULIO MAIA";"EE";"PARCIAL";;"RUA SOBRAL JÚNIOR";"234";"";"VILA MARIA ALTA";"02130";"020";"11";"26317110";"29541609";"E000851A@EDUCACAO.SP.GOV.BR";False;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"NORTE 2";"SAO PAULO";;;863;"JOSE MARCELINO DA FONSECA MAJOR";"EE";"PEI";"9H";"RUA SOLDADO BENTINHO";"87";"";"PARQUE MANDAQUI";"02418";"090";"11";"22041722";"22633607";"E000863A@EDUCACAO.SP.GOV.BR";False;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"NORTE 2";"SAO PAULO";;;875;"CASTRO ALVES";"EE";"PARCIAL";;"RUA FRANCISCO BRUNO";"67";"";"VILA MARIZA MAZZEI";"02432";"070";"11";"22368460";"22566093";"E000875A@EDUCACAO.SP.GOV.BR";False;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"CENTRO";"SAO PAULO";;;899;"PEDRO COSTA DEPUTADO";"EE";"PEI";"9H";"RUA NILO LUÍS MAZZEI";"378";"";"VILA ISOLINA MAZZEI";"02081";"070";"11";"29765072";"29769372";"E000899A@EDUCACAO.SP.GOV.BR";False;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"NORTE 2";"SAO PAULO";;;905;"CARLOS DE LAET PROF";"EE";"PEI";"9H";"RUA ALBERTINA VIEIRA DA SILVA GORDO";"147";"";"VILA AURORA ZONA NORTE";"02410";"000";"11";"22030533";"29537720";"E000905A@EDUCACAO.SP.GOV.BR";False;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"CENTRO";"SAO PAULO";;;917;"ANTONIO LISBOA PROFESSOR";"EE";"PARCIAL";;"RUA PROFESSOR FÁBIO FANUCCHI";"425";"";"BAIRRO JARDIM SAO PAULO";"02045";"080";"11";"29710852";"29761322";"E000917A@EDUCACAO.SP.GOV.BR";False;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"CENTRO";"SAO PAULO";;;929;"ANTONIO VIEIRA PADRE";"EE";"PARCIAL";;"AVENIDA CRUZEIRO DO SUL";"3301";"- DE 3141 AO FIM - LADO ÍMPAR";"CANINDE";"02031";"200";"11";"29506476";"29795862";"E000929A@EDUCACAO.SP.GOV.BR";False;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"CENTRO";"SAO PAULO";;;930;"HOMEM DE MELLO BARAO";"EE";"PEI";"9H";"RUA ALFREDO PUJOL";"1555";"- DE 1501 AO FIM - LADO ÍMPAR";"SANTANA";"02017";"013";"11";"29506555";"";"E000930A@EDUCACAO.SP.GOV.BR";False;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"CENTRO";"SAO PAULO";;;942;"BUENOS AIRES";"EE";"PEI";"9H";"RUA DOUTOR OLAVO EGÍDIO";"1008";"- DE 451/452 AO FIM";"SANTANA";"02037";"001";"11";"29764710";"29778335";"E000942A@EDUCACAO.SP.GOV.BR";False;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"CENTRO";"SAO PAULO";;;966;"GONCALVES DIAS";"EE";"PARCIAL";;"RUA NILO LUÍS MAZZEI";"SN";"";"VILA ISOLINA MAZZEI";"02081";"070";"11";"29767684";"29834184";"E000966A@EDUCACAO.SP.GOV.BR";False;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"CENTRO";"SAO PAULO";;;978;"CASIMIRO DE ABREU";"EE";"PEI";"9H";"RUA CORONEL JORDÃO";"144";"";"VILA PAIVA";"02075";"030";"11";"29091149";"";"E000978A@EDUCACAO.SP.GOV.BR";False;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"CENTRO";"SAO PAULO";;;985;"REPUBLICA DA BOLIVIA";"EE";"PARCIAL";;"RUA OUTEIRO DA CRUZ";"571";"";"JARDIM SAO PAULO";"02041";"040";"11";"29501322";"29763141";"E000985A@EDUCACAO.SP.GOV.BR";False;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"NORTE 2";"SAO PAULO";;;1004;"EURICO FIGUEIREDO PROF";"EE";"PEI";"9H";"FONSECA FILHO MINISTRO";"75";"RUA";"JACANA";"02272";"030";"11";"22425743";"22427254";"E001004A@EDUCACAO.SP.GOV.BR";False;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"NORTE 2";"SAO PAULO";;;1016;"ALBERTO CARDOSO DE MELLO NETO DR";"EE";"PARCIAL";;"VIRGILIA RODRIGUES ALVES DE CARVALHO PINTO PROFESSORA";"633";"AVENIDA";"JARDIM LEONOR MENDES DE BARROS";"02346";"000";"11";"22040517";"29537039";"E001016A@EDUCACAO.SP.GOV.BR";False;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"NORTE 2";"SAO PAULO";;;1028;"VICTOR DOS SANTOS CUNHA PROF";"EE";"PARCIAL";;"AVENIDA JOÃO SIMÃO DE CASTRO";"280";"";"VILA SABRINA";"02141";"000";"11";"22015427";"22122320";"E001028A@EDUCACAO.SP.GOV.BR";False;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"NORTE 2";"SAO PAULO";;;1036;"SEBASTIAO DE SOUZA BUENO PROF";"EE";"PEI";"9H";"RUA FRANCISCO DE MEDEIROS JORDÃO";"579";"";"VILA MEDEIROS";"02214";"030";"11";"22018592";"22122481";"E001036A@EDUCACAO.SP.GOV.BR";False;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"NORTE 2";"SAO PAULO";;;1041;"JOHANN GUTENBERG";"EE";"PEI";"9H";"BUSSE CAPITAO";"391";"RUA";"PARQUE EDU CHAVES";"02232";"050";"11";"22427216";"";"E001041A@EDUCACAO.SP.GOV.BR";True;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"NORTE 2";"SAO PAULO";;;1053;"LUIZ AMARAL WAGNER PROF";"EE";"PARCIAL";;"NICOLINO MORENA DOUTOR";"541";"RUA";"VILA CONSTANCA";"02257";"000";"11";"22424992";"22427707";"E001053A@EDUCACAO.SP.GOV.BR";False;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"NORTE 2";"SAO PAULO";;;1065;"DAVID EUGENIO DOS SANTOS PROF";"EE";"PARCIAL";;"RUA JOSÉ DE ALMEIDA";"1377";"- DE 901/902 AO FIM";"VILA MEDEIROS";"02204";"001";"11";"29870622";"29895187";"E001065A@EDUCACAO.SP.GOV.BR";False;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"NORTE 2";"SAO PAULO";;;1077;"JUDITH GUIMARAES DOS SANTOS PROFA";"EE";"PARCIAL";;"RUA MANUEL PEREIRA SAMPAIO";"66";"";"BORTOLANDIA";"02352";"030";"11";"22041854";"29539557";"E001077A@EDUCACAO.SP.GOV.BR";False;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"NORTE 2";"SAO PAULO";;;1089;"GABRIELA MISTRAL";"EE";"PARCIAL";;"BARACCA MAJOR";"584";"RUA";"PARQUE EDU CHAVES";"02232";"000";"11";"22401033";"22434730";"E001089A@EDUCACAO.SP.GOV.BR";True;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"NORTE 2";"SAO PAULO";;;1090;"JOSE MARIA REYS PROF";"EE";"PEI";"9H";"AVENIDA CONCEIÇÃO";"3027";"- DE 3131/3132 A 4269/4270";"JARDIM JAPAO";"02135";"001";"11";"22019762";"22129392";"E001090A@EDUCACAO.SP.GOV.BR";False;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"NORTE 2";"SAO PAULO";;;1119;"EURIPEDES DE CASTRO";"EE";"PARCIAL";;"AVENIDA EDGAR RUZZANT";"456";"- ATÉ 495/496";"JARDIM BRASIL ZONA NORTE";"02225";"010";"11";"22018054";"";"E001119A@EDUCACAO.SP.GOV.BR";True;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"CENTRO";"SAO PAULO";;;1120;"EXPEDICIONARIO BRASILEIRO";"EE";"PARCIAL";;"RUA ALTINÓPOLIS";"501";"- DE 291/292 AO FIM";"AGUA FRIA";"02334";"001";"11";"29754215";"29768066";"E001120A@EDUCACAO.SP.GOV.BR";False;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"NORTE 2";"SAO PAULO";;;1132;"PEDRO ALEXANDRINO";"EE";"PARCIAL";;"IMBIRAS";"49";"RUA";"VILA NOVA MAZZEI";"02316";"000";"11";"22043335";"29535734";"E001132A@EDUCACAO.SP.GOV.BR";True;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"NORTE 2";"SAO PAULO";;;1144;"JULIO PESTANA";"EE";"PARCIAL";;"AVENIDA GUAPIRA";"2862";"- DE 1051/1052 AO FIM";"TUCURUVI";"02265";"002";"11";"22413200";"22415795";"E001144A@EDUCACAO.SP.GOV.BR";False;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"NORTE 2";"SAO PAULO";;;1156;"SILVA JARDIM";"EE";"PARCIAL";;"AVENIDA TUCURUVI";"724";"- DE 606 AO FIM - LADO PAR";"TUCURUVI";"02304";"002";"11";"29816359";"29834228";"E001156A@EDUCACAO.SP.GOV.BR";False;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"NORTE 2";"SAO PAULO";;;1168;"ALFREDO INACIO TRINDADE";"EE";"PARCIAL";;"RUA JOÃO ROSA";"86";"";"VILA NIVI";"02255";"130";"11";"29818523";"29818697";"E001168A@EDUCACAO.SP.GOV.BR";False;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"NORTE 2";"SAO PAULO";;;1173;"ALBINO CESAR";"EE";"PARCIAL";;"RUA CAJAMAR";"5";"";"VILA MAZZEI";"02308";"090";"11";"22036695";"29520549";"E001173A@EDUCACAO.SP.GOV.BR";False;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"NORTE 2";"SAO PAULO";;;1181;"RAFAEL DE MORAES LIMA PROF";"EE";"PARCIAL";;"RUA LAVÍNIA PACHECO E SILVA";"SN";"";"JARDIM LEONOR MENDES DE BARROS";"02346";"140";"11";"22043300";"29917825";"E001181A@EDUCACAO.SP.GOV.BR";False;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"NORTE 2";"SAO PAULO";;;1193;"PHILOMENA BAYLAO PROFA";"EE";"PARCIAL";;"AVENIDA CORONEL SEZEFREDO FAGUNDES";"14666";"- DE 14000/14001 AO FIM";"NUCLEO DO ENGORDADOR";"02368";"000";"11";"29952488";"29957704";"E001193A@EDUCACAO.SP.GOV.BR";True;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"NORTE 2";"SAO PAULO";;;1200;"LAEL DE MOURA PRADO PROF";"EE";"PARCIAL";;"AV PROFESSOR CASTRO JUNIOR";"609";"AVENIDA";"VL SABRINA";"02138";"030";"11";"22016571";"29815410";"E001200A@EDUCACAO.SP.GOV.BR";False;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"NORTE 2";"SAO PAULO";;;1211;"MIGUEL VIEIRA FERREIRA DR";"EE";"PEI";"9H";"RUA FRANCISCO DE MEDEIROS JORDÃO";"628";"";"VILA MEDEIROS";"02214";"030";"11";"22015595";"29869783";"E001211A@EDUCACAO.SP.GOV.BR";False;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"NORTE 2";"SAO PAULO";;;1235;"CYRENE DE OLIVEIRA LAET DONA";"EE";"PEI";"9H";"RUA ESTER ELISA";"227";"";"VILA NILO";"02278";"040";"11";"22495318";"22495440";"E001235A@EDUCACAO.SP.GOV.BR";True;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"NORTE 2";"SAO PAULO";;;1247;"RUY BARBOSA CONSELHEIRO";"EE";"PARCIAL";;"ANTONIO CASTELAR DE FRANCESCHI PROFESSOR";"200";"RUA";"HORTO FLORESTAL";"02377";"080";"11";"22043044";"29917451";"E001247A@EDUCACAO.SP.GOV.BR";False;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"NORTE 2";"SAO PAULO";;;1259;"JOAO LIGABUE CONEGO";"EE";"PEI";"9H";"GROTA";"483";"RUA";"VILA GUSTAVO";"02206";"010";"11";"29817452";"29833552";"E001259A@EDUCACAO.SP.GOV.BR";False;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"NORTE 2";"SAO PAULO";;;1272;"ANGELO BORTOLO";"EE";"PEI";"9H";"RUA ANTÔNIO GONÇALVES SILVA";"91";"";"BORTOLANDIA";"02352";"090";"11";"22040300";"29528254";"E001272A@EDUCACAO.SP.GOV.BR";False;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"NORTE 2";"SAO PAULO";;;1284;"AMENAIDE BRAGA DE QUEIROZ PROFA";"EE";"PEI";"9H";"RUA BARRA MANSA";"480";"";"JARDIM FRANCA";"02337";"040";"11";"22049633";"29535485";"E001284A@EDUCACAO.SP.GOV.BR";False;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"NORTE 2";"SAO PAULO";;;1296;"CARMOSINA MONTEIRO VIANNA PROFA";"EE";"PARCIAL";;"RUA ANTÔNIO PALMIERI";"377";"";"JARDIM BRASIL ZONA NORTE";"02210";"000";"11";"22013411";"22121433";"E001296A@EDUCACAO.SP.GOV.BR";False;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"NORTE 2";"SAO PAULO";;;1302;"ARNALDO BARRETO";"EE";"PARCIAL";;"RUA ANTÔNIO PESTANA";"58";"";"TREMEMBE";"02370";"020";"11";"22043230";"29919630";"E001302A@EDUCACAO.SP.GOV.BR";False;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"NORTE 2";"SAO PAULO";;;1326;"PEDRO DE MORAES VICTOR DR";"EE";"PARCIAL";;"RUA BOAVENTURA COLETTI";"S/N";"";"VILA FIDALGO";"02324";"100";"11";"22614337";"";"E001326A@EDUCACAO.SP.GOV.BR";True;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"NORTE 2";"SAO PAULO";;;1338;"MARIA ANGELITA SAYAGO LAET PROFA";"EE";"PARCIAL";;"RUA FREIRE BASTOS";"226";"";"JARDIM MODELO";"02261";"020";"11";"22410071";"22418078";"E001338A@EDUCACAO.SP.GOV.BR";False;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"NORTE 2";"SAO PAULO";;;1348;"JOSE DO AMARAL MELLO PROF";"EE";"PARCIAL";;"RUA ALPHEU LUIZ GASPARINO";"84";"";"VILA NOVA GALVAO";"02281";"110";"11";"22411633";"22413313";"E001348A@EDUCACAO.SP.GOV.BR";True;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"NORTE 2";"SAO PAULO";;;1351;"ADEMAR HIROSHI SUDA PROF";"EE";"PARCIAL";;"RUA AGAFITA";"50";"";"PARQUE VITORIA";"02269";"080";"11";"22401555";"22434695";"E001351A@EDUCACAO.SP.GOV.BR";False;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"CENTRO";"SAO PAULO";;;1363;"SAO PAULO";"EE";"PEI";"9H";"RUA DA FIGUEIRA";"500";"- ATÉ 799/800";"BRAS";"03003";"000";"11";"32289904";"33260265";"E001363A@EDUCACAO.SP.GOV.BR";False;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"LESTE 5";"SAO PAULO";;;1375;"LOUREIRO JUNIOR PROFESSOR";"EE";"PEI";"9H";"RUA PADRE ADELINO";"1330";"";"QUARTA PARADA";"03303";"000";"11";"26057174";"26757553";"E001375A@EDUCACAO.SP.GOV.BR";False;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"LESTE 5";"SAO PAULO";;;1387;"THEODORO DE MORAES PROFESSOR";"EE";"PEI";"9H";"AVENIDA REGENTE FEIJÓ";"586";"";"VILA REGENTE FEIJO";"03342";"000";"11";"29650807";"29667990";"E001387A@EDUCACAO.SP.GOV.BR";False;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"LESTE 5";"SAO PAULO";;;1399;"PAULO MONTE SERRAT PROFESSOR";"EE";"PEI";"9H";"RUA TORIBA";"141";"";"VILA CANERO";"03191";"130";"11";"29656609";"29657796";"E001399A@EDUCACAO.SP.GOV.BR";False;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"CENTRO";"SAO PAULO";;;1405;"ROMAO PUIGARI";"EE";"PARCIAL";;"AVENIDA RANGEL PESTANA";"1482";"- DE 502 AO FIM - LADO PAR";"BRAS";"03002";"000";"11";"33117497";"33266571";"E001405A@EDUCACAO.SP.GOV.BR";False;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"LESTE 5";"SAO PAULO";;;1417;"ISAI LEIRNER";"EE";"PEI";"9H";"RUA PLÁCIDO DE CASTRO";"221";"";"VILA INVERNADA";"03349";"030";"11";"26711399";"26716580";"E001417A@EDUCACAO.SP.GOV.BR";False;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"LESTE 5";"SAO PAULO";;;1430;"ANDRE OHL";"EE";"PARCIAL";;"AVENIDA SAPOPEMBA";"3244";"- ATÉ 3740 - LADO PAR";"VILA REGENTE FEIJO";"03345";"000";"11";"22113266";"22160048";"E001430A@EDUCACAO.SP.GOV.BR";False;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"LESTE 5";"SAO PAULO";;;1442;"ANDRE XAVIER GALLICHO PROFESSOR";"EE";"PARCIAL";;"MOOCA";"4650";"RUA";"MOOCA";"03165";"002";"11";"26010184";"26012848";"E001442A@EDUCACAO.SP.GOV.BR";False;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"CENTRO";"SAO PAULO";;;1454;"ANTONIO FIRMINO DE PROENCA PROF";"EE";"PARCIAL";;"RUA DA MOOCA";"363";"- ATÉ 905 - LADO ÍMPAR";"MOOCA";"03103";"000";"11";"32093316";"32095634";"E001454A@EDUCACAO.SP.GOV.BR";False;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"LESTE 5";"SAO PAULO";;;1466;"AMADEU AMARAL";"EE";"PARCIAL";;"LARGO SÃO JOSÉ DO BELÉM";"66";"";"BELENZINHO";"03057";"040";"11";"20985596";"26943382";"E001466A@EDUCACAO.SP.GOV.BR";False;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"CENTRO";"SAO PAULO";;;1478;"EDUARDO PRADO";"EE";"PARCIAL";;"RUA ALMIRANTE BARROSO";"225";"- ATÉ 499/500";"BRAS";"03025";"000";"11";"26942045";"27967006";"E001478A@EDUCACAO.SP.GOV.BR";False;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"LESTE 5";"SAO PAULO";;;1485;"GUERINO RASO";"EE";"PEI";"9H";"RUA SERRA DA BOCAINA";"126";"";"QUARTA PARADA";"03174";"000";"11";"22928232";"26946335";"E001485A@EDUCACAO.SP.GOV.BR";False;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"LESTE 5";"SAO PAULO";;;1491;"ANNA TEIXEIRA PRADO ZACHARIAS PROFESSORA";"EE";"PEI";"9H";"RUA PAULINA";"149";"";"CHACARA MAFALDA";"03370";"040";"11";"22136265";"22165757";"E001491A@EDUCACAO.SP.GOV.BR";False;"2024-10-07 11:03:32.4770000"
